word,occurrences,avg_attention,avg_bias_drop,avg_anger_drop,avg_disgust_drop,avg_fear_drop,avg_joy_drop,avg_optimism_drop,avg_sadness_drop,avg_neutral_drop
despite,9,1.0,-0.0037672817707061768,-0.01598590612411499,-0.008274949259228177,0.0019271804226769342,0.003658356765906016,0.0012061579359902276,0.014192803038491143,0.030065572096241847
monday,9,1.0,-0.004486766954263051,0.004852321412828233,0.020604872041278414,-0.020428922441270616,0.005212787538766861,0.006007214387257894,0.008315015998151567,-0.009253816472159492
elizabeth,9,1.0,-0.006927269200483958,0.001507898171742757,0.022535241312450834,-0.019771675268809002,-0.005454666084713406,-0.01838685903284285,0.00018934243255191378,-0.015986846552954778
group,9,1.0,-0.024089093837473128,-0.0004306319687101576,-0.0012551115618811713,-0.01682391928301917,-0.0025159033636252084,0.0013931327395968968,-0.02060640023814307,0.006673322783576118
over,9,1.0,-0.03980001310507456,0.0014650656117333306,0.006795800394482083,-0.002708133724000719,-0.009389997356467776,-0.005385620726479424,-0.004001184470123715,-0.0048846834235721165
then,8,1.0,0.014662456698715687,0.015652451664209366,0.015326723456382751,-0.002004321664571762,-0.004285458009690046,-0.011456945445388556,-0.01060959231108427,-0.009455587714910507
america,8,1.0,0.004193646367639303,-0.00571015477180481,-0.014685772359371185,-0.013010051101446152,-0.01900035049766302,0.0022751959040760994,-0.004820612259209156,0.0009529478847980499
fact,8,1.0,0.0035683540627360344,-0.006849175319075584,-0.0013861730694770813,-0.0161537267267704,-0.00723840668797493,-0.010125776752829552,-0.0019632596522569656,0.014662936329841614
what,8,1.0,0.0022755563259124756,0.005724392831325531,0.007689919322729111,0.0071578249335289,-0.007694985717535019,0.002736486494541168,0.007715839892625809,-0.009652379900217056
which,8,1.0,0.0012043081223964691,-0.006071928888559341,0.003996517509222031,0.0007024258375167847,-0.008404621854424477,-0.0016429778188467026,-0.00040247850120067596,0.005295037291944027
leader,8,1.0,0.0007280511781573296,-0.006920900195837021,-0.01684783771634102,-0.018070746213197708,-0.004937040386721492,-0.01911357045173645,-0.0004675276577472687,0.019108939915895462
state,8,1.0,-0.0005557695403695107,-0.023015106096863747,-0.025003928691148758,-0.02260090969502926,-0.0015547196380794048,0.002234315499663353,-0.01827323157340288,0.029830627143383026
friday,8,1.0,-0.0016343295574188232,0.020705927163362503,0.02168659307062626,0.018762491643428802,0.03388585150241852,0.018191643059253693,0.02350927982479334,-0.041107889264822006
because,8,1.0,-0.002949056215584278,-0.014377426356077194,-0.013054072856903076,-0.0034876875579357147,-0.006527455290779471,0.008222207427024841,-0.006313923746347427,0.007457636296749115
wants,8,1.0,-0.0029530050233006477,-0.022828999906778336,-0.03166139870882034,0.06076331064105034,-0.0026672007516026497,0.01674625463783741,0.015901245176792145,-0.004531446844339371
thunberg,8,1.0,-0.0029694978147745132,-0.038517389446496964,-0.038724277168512344,-0.025734227150678635,0.02019161358475685,0.0061514489352703094,-0.02887279912829399,0.054755888879299164
advocates,8,1.0,-0.0030416464433073997,0.009507894515991211,0.011031556874513626,-0.01327579841017723,-0.007864749990403652,0.017378907650709152,0.009814498946070671,-0.026038335636258125
ban,8,1.0,-0.004618794657289982,-0.00799468532204628,-0.02441549301147461,-0.032032718881964684,0.008913543075323105,0.004449853673577309,-0.012039896100759506,0.02152087911963463
control,8,1.0,-0.00557374581694603,0.021309521049261093,0.014441639184951782,0.004483778029680252,0.009067170321941376,0.04364009387791157,0.032278405502438545,-0.04121280089020729
king,8,1.0,-0.009810369461774826,0.004708152264356613,0.0033392608165740967,0.010727550834417343,-0.0017508277669548988,-0.008481882512569427,-0.007600677199661732,0.0009391270577907562
three,8,1.0,-0.029603322502225637,-0.007896386086940765,-0.002922631800174713,-0.0018238425254821777,-0.0014503146521747112,0.005157666280865669,-0.004739436320960522,0.0028318464756011963
say,8,1.0,-0.04537377506494522,-0.018265560269355774,-0.03812527656555176,0.02049478143453598,-0.009652472101151943,0.012293258681893349,0.013010751456022263,0.022944707423448563
few,8,1.0,-0.056914702989161015,-0.011291315779089928,-0.01810600236058235,-0.01155463233590126,0.001882956363260746,0.0015816353261470795,-0.0007993653416633606,0.011572085320949554
thousands,8,1.0,-0.06039291713386774,-0.0026175715029239655,-0.0024889037013053894,-0.004005134105682373,-0.024503768421709538,-0.02339944988489151,-0.01924743689596653,0.011607199907302856
pelosi,7,1.0,0.09867259966475624,0.042028720889772685,0.04668337958199637,-0.0008310420172555106,-0.009623939437525613,-0.029891255710806166,-0.02687369074140276,-0.019282813583101546
gop,7,1.0,0.00936011437858854,0.009198265416281564,0.0240312112229211,0.014112217085702079,-0.036680269454206736,-0.014322555490902491,-0.012984213020120348,-0.03681853839329311
never,7,1.0,0.006207432065691266,-0.004156859857695443,-0.0013868915183203562,-0.0007575282028743199,0.0033098475209304263,-0.011041355984551566,0.001377938049180167,-0.0008295817034585136
came,7,1.0,0.0024545384304864065,-0.01254619870867048,-0.004435024091175624,0.008589587041309901,0.0013252134834017073,0.026930698326655796,0.005444348922797612,0.00015620461532047817
minister,7,1.0,0.0024225147707121713,-0.015840913568224226,-0.022071097578321184,-0.013567792517798287,-0.0018923266657761165,-0.010859004088810511,-0.002967492810317448,0.01576088581766401
shows,7,1.0,0.0023970486862318857,-0.010083023990903581,-0.019764363765716553,-0.010528862476348877,-0.010636997542210988,0.00036062513078962056,-0.007382605757032122,0.016974717378616333
meanwhile,7,1.0,0.002198927104473114,0.02042422124317714,0.046215366039957316,0.01182508042880467,0.0033018535801342557,0.0033166812998907907,0.009666928223201207,-0.027383949075426375
